review_text,summary,cleaned_review,tokenized_review
  Love these shoes!! They are true to size and very comfortable!! This is my second pair - I wore out the first pair!! Good arch support - I have a high arch!!,  Love these shoes,  love these shoes they are true to size and very comfortable this is my second pair  i wore out the first pair good arch support  i have a high arch,   love shoes true size comfortable second pair   wore pair good arch support   high arch
 reviewerName: Cynthia Foyer,  Five Stars, reviewername cynthia foyer,  reviewername cynthia foyer
  Great arch support and comfortable.,  Great cross trainer,  great arch support and comfortable,   great arch support comfortable
  It looks a bit nicer on the picture. Its very light in such a way that when I held the box I wondered if there was just paper filling inside. They are comfortable for the most. Good looking training shoes overall.,  They are comfortable for the most but just a bit narrow,  it looks a bit nicer on the picture its very light in such a way that when i held the box i wondered if there was just paper filling inside they are comfortable for the most good looking training shoes overall,   looks bit nicer picture light way held box wondered paper filling inside comfortable good looking training shoes overall
  second pair. Comfortable and great for people with bunion issues or previous surgeries.  Sole wears great,  staple sneakers,  second pair comfortable and great for people with bunion issues or previous surgeries  sole wears great,   second pair comfortable great people bunion issues previous surgeries   sole wears great
  My daughter loves these shoes. Fit true to size.,  Great looking shoe,  my daughter loves these shoes fit true to size,   daughter loves shoes fit true size
  Purchased for my daughter for gym class.  She loves them.  Very cute and very comfortable.,  Great shoes.,  purchased for my daughter for gym class  she loves them  very cute and very comfortable,   purchased daughter gym class   loves   cute comfortable
  Great look but zero support inside the shoe. Had to buy expensive inserts to be wearable. Expected more from a nike shoe.,  Style 10/10,  great look but zero support inside the shoe had to buy expensive inserts to be wearable expected more from a nike shoe,   great look zero support inside shoe buy expensive inserts wearable expected nike shoe
 style: {Size::  9 B(M) US, Color::  Blue Tint/Green Glow/Hasta/White}, style size   bm us,  style size    bm
  Great shoes. Fit perfectly. Comfortable right from the start. Light weight and perfect for a 12 hour work shift. Good price also.,  Great shoes. Fit perfectly,  great shoes fit perfectly comfortable right from the start light weight and perfect for a  hour work shift good price also,   great shoes fit perfectly comfortable right start light weight perfect   hour work shift good price
  I love them! They fit perfect and are very comfortable!!,  Five Stars,  i love them they fit perfect and are very comfortable,   love fit perfect comfortable
  Love these lightweight shoes! Absolute favorite. Always order half a size bigger with nike shoes than with every other shoe in my closet.,  Perfect. Lightweight and comfortable all day,  love these lightweight shoes absolute favorite always order half a size bigger with nike shoes than with every other shoe in my closet,   love lightweight shoes absolute favorite order half size bigger nike shoes shoe closet
  My knees were bothering me during HIIT workouts so i  purchased these shoes after researching many styles.  Fit true to size and are lightweight.  My knees feel better so so hard so good.  They are cute in too!!,  My knees feel better so so hard so good,  my knees were bothering me during hiit workouts so i  purchased these shoes after researching many styles  fit true to size and are lightweight  my knees feel better so so hard so good  they are cute in too,   knees bothering hiit workouts   purchased shoes researching styles   fit true size lightweight   knees feel better hard good   cute
  Love the color!,  Five Stars,  love the color,   love color
  Comfortable athletic shoe,  good for the gym (ellipical,  comfortable athletic shoe,   comfortable athletic shoe
  The shoes fit perfectly and came within the time frame i was given.  Very comfortable, which is needed since my job requires a lot if standing abd walking throughout the day.,  the shoes fit perfectly and came within the time frame i was given  very comfortable,   shoes fit perfectly came time frame given   comfortable
  They looked very cheap,  Returned...looked cheap,  they looked very cheap,   looked cheap
  The fit is as expected,  Fits to size,  the fit is as expected,   fit expected
  Very comfortable shoes. This is my second pair of this style of shoe because I loved them that much.,  Very comfortable shoes. This is my second pair of this ...,  very comfortable shoes this is my second pair of this style of shoe because i loved them that much,   comfortable shoes second pair style shoe loved
  Comfortable, consistent each time I order and good looking,  comfortable,   comfortable
  I love the shoe and it fit as expected the photos and description are accurate if you're looking for a shoe that has more cushion or support try a different style but as far as wanting a lightweight and breathable shoe this is it. I am very satisfied with this purchase,  I love the shoes and the description and photos were accurate,  i love the shoe and it fit as expected the photos and description are accurate if youre looking for a shoe that has more cushion or support try a different style but as far as wanting a lightweight and breathable shoe this is it i am very satisfied with this purchase,   love shoe fit expected photos description accurate looking shoe cushion support try different style far wanting lightweight breathable shoe satisfied purchase
 reviewerName: Brittany C., reviewText: These are so cute and comfortable and very light. I just received them today and the fit is perfect. I normally wear an 8 1/2 and they are true to size!, reviewername brittany c,  reviewername brittany c
  I always order a 1/2 size up in workout shoes.,  Lightweight,  i always order a  size up in workout shoes,   order   size workout shoes
  I wore these shoe one time, from the airport in Omaha,  i wore these shoe one time,   wore shoe time
  They run big and are super uncomfortable and the soles squeak. They don't breathe at all.,  Two Stars,  they run big and are super uncomfortable and the soles squeak they dont breathe at all,   run big super uncomfortable soles squeak nt breathe
  Exactly what I expected! Comfortable and chic,  Comfortable and,  exactly what i expected comfortable and chic,   exactly expected comfortable chic
 reviewerName: Andrea L Hogan, reviewText: They were a gift  to my daughter she loved them, reviewername andrea l hogan,  reviewername andrea l hogan
  Love these comfy shoes. they fit like a glove.,  Five Stars,  love these comfy shoes they fit like a glove,   love comfy shoes fit like glove
  Very confortable.,  Smooth and confortable.,  very confortable,   confortable
  i love these shoes.,  Five Stars,  i love these shoes,   love shoes
  Lightweight, decent arch support and comfortably to wear all day doing regular activity and sprinting.,  lightweight,   lightweight
  daughter loves them,  Five Stars,  daughter loves them,   daughter loves
  I ordered a 1/2 size smaller than my usual size, and they are perfect. These shoes are hard to find. Great customer service as well.,  i ordered a  size smaller than my usual size,   ordered   size smaller usual size
  Very good overall.\nNow Ive been a huge Sketchers Go Walk fan for some time and the only reason I tried these instead of the latest number 4 of those is because the tread looked too slippery to me.\nThese shoes are very sturdy and the grip of the soles has been very solid so far. I use them for basic workout cardio and cross training, as well as work as a massage therapist (I go through shoes fast enough that Ive recently consolidated).\nIf you're a Go Walk fan,  very good overallnnow ive been a huge sketchers go walk fan for some time and the only reason i tried these instead of the latest number  of those is because the tread looked too slippery to menthese shoes are very sturdy and the grip of the soles has been very solid so far i use them for basic workout cardio and cross training,   good overallnnow ve huge sketchers walk fan time reason tried instead latest number   tread looked slippery menthese shoes sturdy grip soles solid far use basic workout cardio cross training
  Wife loves them!,  Five Stars,  wife loves them,   wife loves
  These shoes are extremely comfortable, and fit as expected.  Will purchase again.,  these shoes are extremely comfortable,   shoes extremely comfortable
 reviewerName: sonia, reviewText: Artculo equivocado en color, reviewername sonia,  reviewername sonia
 reviewerName: G.K. Hyder, reviewText: Glad I read the reviews and ordered a half size too big. These are light weight. I worked out in them last night and had a great work out. They are very comfortable. I would recommend these to anyone. I am a Beach Body Coach and these are now my new favorite shoes to work out in. I feel like I am walking in slippers when I wear these shoes. They are so comfortable. I LOVE them so much. I never buy myself anything nice and for Christmas got an Amazon gift card and used it to buy myself these sneakers and they are so awesome. I really do love them and have been telling all my friends about them. GET THESE SHOES!, reviewername gk hyder,  reviewername gk hyder
  On the left shoe, there were two stained yellow spots.,  on the left shoe,   left shoe
  I love these, I had the previous iteration (or maybe two earlier?) and finally wore them out after several years. They are definitely a light-weight training shoe so I wouldn't get them if you are going to be doing a lot of running. But this also makes them extremely comfortable,  i love these,   love
  Super light-weight, decent arch support (mine is higher than average).  I was pleasantly surprised by the sole/tread on these for my circuit training classes,  super lightweight,   super lightweight
  I Love it. It is very light and the color is great.,  Five Stars,  i love it it is very light and the color is great,   love light color great
  My wife loves these shoes. We have both been wearing sketchers and new balance for several years and recently we have both purchased Nike. There is a reason why Nike is still number 1 after all these years, you just cant beat their comfort.,  my wife loves these shoes we have both been wearing sketchers and new balance for several years and recently we have both purchased nike there is a reason why nike is still number  after all these years,   wife loves shoes wearing sketchers new balance years recently purchased nike reason nike number   years
 reviewerName: Kitten, reviewText: Absolutly love these shoes!! Beautiful color, reviewername kitten,  reviewername kitten
  I **loved** these shoes when I got them. I've noticed that the foam inside tends to compress during a workout, though. I'll lace them tightly enough that they're nearly cutting off my circulation. 20 minutes later,  i loved these shoes when i got them ive noticed that the foam inside tends to compress during a workout,   loved shoes got ve noticed foam inside tends compress workout
  She loves them,  Five Stars,  she loves them,   loves
  These are a bit longer than they should be. I usually wear a 9 but could have easily ordered a 8.5. The width is accurate.\n\nThe pink is even pinker than shown and the light gray is over the very bright pink so it isn't as gray as shown in the picture. It makes the shoe a bit overwhelming. Also two grommets on each shoe is dark. I'm not referring to the dark grommets closer to the toe as shown in the photo, I'm talking about two grommets up at the top of of the laces (opposite side of side shown in photo). I thought it was faulty at first until I noticed they were on the same side of each shoe. Kind of odd and not pictured.\n\nOverall,  these are a bit longer than they should be i usually wear a  but could have easily ordered a  the width is accuratennthe pink is even pinker than shown and the light gray is over the very bright pink so it isnt as gray as shown in the picture it makes the shoe a bit overwhelming also two grommets on each shoe is dark im not referring to the dark grommets closer to the toe as shown in the photo,   bit longer usually wear   easily ordered   width accuratennthe pink pinker shown light gray bright pink nt gray shown picture makes shoe bit overwhelming grommets shoe dark m referring dark grommets closer toe shown photo
  great,  Five Stars,  great,   great
  c,  Five Stars,  c,   c
  Love them!,  Five Stars,  love them,   love
  Very nice shoe, just a bit to snug/small for my foot. The Flex wire really makes it the shoe fit tight to your foot. I need more \wiggle\ room in my footwear,  very nice shoe,   nice shoe
  Not sure why, but my mid section of my foot starts to hurt using these shoes for a long day or a tough workout at the gym. I've owned other nike shoes of this line but that never happened to me.,  not sure why,   sure
  My New Gym shoes! Love them,  Love,  my new gym shoes love them,   new gym shoes love
  Perfect!,  Five Stars,  perfect,   perfect
  I usually wear a size 8 and they fit fine. These are way too narrow. Thought they might stretch out but they didnt. Had to give away.,  TOO NARROW!,  i usually wear a size  and they fit fine these are way too narrow thought they might stretch out but they didnt had to give away,   usually wear size   fit fine way narrow thought stretch nt away
  Great shoe! Outside arch is kind of high, but I'm still breaking them in. So I'm sure that will work it's way out. I originally ordered a 9,  great shoe outside arch is kind of high,   great shoe outside arch kind high
  I had to return the first pair and buy a 1/2 size smaller.  First time I've had to buy smaller for Nike.,  Seem to Run Big,  i had to return the first pair and buy a  size smaller  first time ive had to buy smaller for nike,   return pair buy   size smaller   time ve buy smaller nike
  Fit comfortable,  Five Stars,  fit comfortable,   fit comfortable
  My favorite running shoes!  The wall of the shoe is very thin, which makes them very comfortable to wear if your feet swell as you run.  I would not recommend for use on concrete or a treadmill,  my favorite running shoes  the wall of the shoe is very thin,   favorite running shoes   wall shoe thin
  Nice fit,  Four Stars,  nice fit,   nice fit
 reviewerName: Amazon Customer, reviewText: I bought these for gym training - weight class and dance class (body jam, reviewername amazon customer,  reviewername amazon customer
  They fit perfect, extremely comfortable,  they fit perfect,   fit perfect
  No arch support but l love the colors!,  Three Stars,  no arch support but l love the colors,   arch support l love colors
  Shoe was somewhat large,  Size problem,  shoe was somewhat large,   shoe somewhat large
  This is a great shoe for in gym workouts. I did take a 10 mile hike and had a blister on my pinky, but other than that these are very comfortable shoes!,  this is a great shoe for in gym workouts i did take a  mile hike and had a blister on my pinky,   great shoe gym workouts   mile hike blister pinky
  Comfortable and light,  Best birthday present,  comfortable and light,   comfortable light
  Purchased these for my wife as she has a similar pair that is wearing out.  She has feet are difficult to fit and these fit perfectly without pressure on sensitive portions of her feet.,  Purchased these for my wife as she has a similar ...,  purchased these for my wife as she has a similar pair that is wearing out  she has feet are difficult to fit and these fit perfectly without pressure on sensitive portions of her feet,   purchased wife similar pair wearing   feet difficult fit fit perfectly pressure sensitive portions feet
  I have pretty high arches and my calves always hurt at the gym with other shoes. I have been on the hunt for a good cross trainer that I can use to lift, take gym classes,  i have pretty high arches and my calves always hurt at the gym with other shoes i have been on the hunt for a good cross trainer that i can use to lift,   pretty high arches calves hurt gym shoes hunt good cross trainer use lift
  Great shoes,  Five Stars,  great shoes,   great shoes
  These were exactly what I expected.,  Five Stars,  these were exactly what i expected,   exactly expected
  Love love love,  Five Stars,  love love love,   love love love
  I always wear a womans 9 in Nikes but these are bigger than usual. The right one almost slips off my foot a bit.  They are really light and not as sturdy as what I was looking for but over all not bad.,  They are really light and not as sturdy as what I was looking for but over all ...,  i always wear a womans  in nikes but these are bigger than usual the right one almost slips off my foot a bit  they are really light and not as sturdy as what i was looking for but over all not bad,   wear womans   nikes bigger usual right slips foot bit   light sturdy looking bad
  These shoes are awesome!!,  Five Stars,  these shoes are awesome,   shoes awesome
  l always buy Nike shoes and been happy so far, but this time my left shoe fit perfectly while the right shoe was too loose on my heal and when I tighten it more it was hurting side of my foot.,  l always buy nike shoes and been happy so far,   l buy nike shoes happy far
  Bought these as my back up shoes but they have turned into my daily ones I go to! So comfortable and my feet don't hurt after long hours on my feet. I own a cleaning business so I need my feet not to hurt in the middle of the day.,  Honestly Fantastic Shoes,  bought these as my back up shoes but they have turned into my daily ones i go to so comfortable and my feet dont hurt after long hours on my feet i own a cleaning business so i need my feet not to hurt in the middle of the day,   bought shoes turned daily ones comfortable feet nt hurt long hours feet cleaning business need feet hurt middle day
  Absolutely love these shoes and color!! They are perfect for running! I run roughly 4 miles 3x per week. This is my second or 3rd pair of this exact style. Fit is perfect!,  Absolutely love these shoes and color,  absolutely love these shoes and color they are perfect for running i run roughly  miles x per week this is my second or rd pair of this exact style fit is perfect,   absolutely love shoes color perfect running run roughly   miles x week second rd pair exact style fit perfect
  Super comfy!,  Five Stars,  super comfy,   super comfy
  Ordered half a size larger than my usual shoe size and fits perfectly.,  Nike runs small,  ordered half a size larger than my usual shoe size and fits perfectly,   ordered half size larger usual shoe size fits perfectly
  Fit well.,  Five Stars,  fit well,   fit
  The fit was perfect! I Highly recommend this shoe.,  Five Stars,  the fit was perfect i highly recommend this shoe,   fit perfect highly recommend shoe
  Obsessed with these shoes! I was looking for good all around sneakers (running, walking,  obsessed with these shoes i was looking for good all around sneakers running,   obsessed shoes looking good sneakers running
  Cute shoe, fit as expected,  cute shoe,   cute shoe
  On time, nice sneakers. Fit as expected.,  on time,   time
  Perfect fit, as always.,  perfect fit,   perfect fit
  Great shoe, very comfortable,  great shoe,   great shoe
  Love these sneakers! Perfect fit and super light,  Five Stars,  love these sneakers perfect fit and super light,   love sneakers perfect fit super light
  These shoes fit like a glove! Light but very supportive! I have worn them several times and feel very light on my feet.,  These shoes fit like a glove,  these shoes fit like a glove light but very supportive i have worn them several times and feel very light on my feet,   shoes fit like glove light supportive worn times feel light feet
  Fit true to size,  Five Stars,  fit true to size,   fit true size
  Love the fit,  Five Stars,  love the fit,   love fit
  Nike always makes a good shoe ..abit rough breaking them in but after 9 hours on my feet anyone's feet would hurt abit,  Nike always makes a good shoe.,  nike always makes a good shoe abit rough breaking them in but after  hours on my feet anyones feet would hurt abit,   nike makes good shoe abit rough breaking   hours feet anyones feet hurt abit
  Oops! I returned these because I ordered wrong size!,  One Star,  oops i returned these because i ordered wrong size,   oops returned ordered wrong size
  Extremely comfortable sneaker!,  Five Stars,  extremely comfortable sneaker,   extremely comfortable sneaker
  Good looking shoe,   Shoes,  good looking shoe,   good looking shoe
  I have had this style before in a different color and have received many compliments on the shoes.  They are great walking shoes!  I wear orthotics and these shoes are one of the best I have found to accommodate them for fit.,  Love these shoes,  i have had this style before in a different color and have received many compliments on the shoes  they are great walking shoes  i wear orthotics and these shoes are one of the best i have found to accommodate them for fit,   style different color received compliments shoes   great walking shoes   wear orthotics shoes best found accommodate fit
  I loved these shoes...that is until after about an hour of wear, the green inserts on the sole of the right show began falling off. The wear was in my home,  i loved these shoesthat is until after about an hour of wear,   loved shoesthat hour wear
  Great! Super comfy and cute! No issues and fit perfect!,  perfect,  great super comfy and cute no issues and fit perfect,   great super comfy cute issues fit perfect
  Good shoes,  Five Stars,  good shoes,   good shoes
  I returned them...found a Ryka pair I liked better,  found a Ryka pair I liked,  i returned themfound a ryka pair i liked better,   returned themfound ryka pair liked better
  BEST sneakers I've ever purchased!!!!,  Five Stars,  best sneakers ive ever purchased,   best sneakers ve purchased
  Excellent ...!!!,  Five Stars,  excellent ,   excellent
  the best sneakers by far! I had never owned a pair of Nike sneakers, and I went solely on the reviews by others...\nAnd I absolutely loved them!!,  the best sneakers by far i had never owned a pair of nike sneakers,   best sneakers far owned pair nike sneakers
  Love these shoes. I've been buying Nikes for years now. I bought this pair for work and everyday wear and another pair for working out and active wear. They also last a long time in my opinion, especially if you take care of them.,  love these shoes ive been buying nikes for years now i bought this pair for work and everyday wear and another pair for working out and active wear they also last a long time in my opinion,   love shoes ve buying nikes years bought pair work everyday wear pair working active wear long time opinion
  Right one is slightly tight.. hope it will stretch out.. !!,  Four Stars,  right one is slightly tight hope it will stretch out ,   right slightly tight hope stretch
  They're ugly: the toe is rounded and the material is weird. the Nike Womens Flex Trainer 6 is way better looking and costs about the same.,  the Nike Womens Flex Trainer 6 is way better looking and costs about the same,  theyre ugly the toe is rounded and the material is weird the nike womens flex trainer  is way better looking and costs about the same,   ugly toe rounded material weird nike womens flex trainer   way better looking costs
  So lightweight and awesome!,  Five Stars,  so lightweight and awesome,   lightweight awesome
  Luv them!!,  Five Stars,  luv them,   luv
  Love the color and fit. I use them to work on at the gym on the treadmill and they are very light and comfortable.,  Love the color and fit,  love the color and fit i use them to work on at the gym on the treadmill and they are very light and comfortable,   love color fit use work gym treadmill light comfortable
  Bought these shoes with HIIT in mind, but not too sure how I like the fit on my foot. First time to wear them,  bought these shoes with hiit in mind,   bought shoes hiit mind
  My daughter loves them. Great fit!,  Great fit!,  my daughter loves them great fit,   daughter loves great fit
  This is a very attractive shoe. It is true to size and fits as expected. Very satisfied with the seller - delivered on time.,  Very satisfied with the seller - delivered on time,  this is a very attractive shoe it is true to size and fits as expected very satisfied with the seller  delivered on time,   attractive shoe true size fits expected satisfied seller   delivered time
  Fits good, very lightweight.,  fits good,   fits good
  Comfortable shoe for both workout sessions and walking.  Neither too bulky nor too light.  This is my second pair because they fit and have no neon or pink colors, just nice basic B&W.,  comfortable shoe for both workout sessions and walking  neither too bulky nor too light  this is my second pair because they fit and have no neon or pink colors,   comfortable shoe workout sessions walking   bulky light   second pair fit neon pink colors
  Nice,  Five Stars,  nice,   nice
  These are the best shoes I have ever use for my workouts!!! I love them and buy them in bulk!!! LOL,  These are the best shoes I have ever use for my workouts,  these are the best shoes i have ever use for my workouts i love them and buy them in bulk lol,   best shoes use workouts love buy bulk lol
  I love these shoes.  They fit as expected and they look really nice on.  These shoes have a narrow base which I really like.  I don't like the ones that make your foot look wide.,  I love these shoes,  i love these shoes  they fit as expected and they look really nice on  these shoes have a narrow base which i really like  i dont like the ones that make your foot look wide,   love shoes   fit expected look nice   shoes narrow base like   nt like ones foot look wide
  Love this product.  Great fit.,  Five Stars,  love this product  great fit,   love product   great fit
  Very low cut heel so if you training and pushing sleds - I ran right out of shoes! Although the traction on toe and heel are great,  Low cut heels,  very low cut heel so if you training and pushing sleds  i ran right out of shoes although the traction on toe and heel are great,   low cut heel training pushing sleds   ran right shoes traction toe heel great
  Just what I needed for Group Fight class. Quick movements and footwork are so easy in these sneakers. Love them.,  Perfect,  just what i needed for group fight class quick movements and footwork are so easy in these sneakers love them,   needed group fight class quick movements footwork easy sneakers love
  Love! Great price too.,  Exactly what I wanted,  love great price too,   love great price
  It's been a long time since I've worked a cross training shoe. This shoe is very light and minimally passed compared to running shoes. That's not meant to be a knock, just a fact.\n\nI ordered the shoes half a size up because as a former runner,  its been a long time since ive worked a cross training shoe this shoe is very light and minimally passed compared to running shoes thats not meant to be a knock,   long time ve worked cross training shoe shoe light minimally passed compared running shoes s meant knock
  Good indoor training shoes for running on treadmill, doing lunges and regular exercises at the gym. These are very flexible,  good indoor training shoes for running on treadmill,   good indoor training shoes running treadmill
  Perf.,  So Perf.,  perf,   perf
  Best shoes ever!!!,  Five Stars,  best shoes ever,   best shoes
  Fit good,  Five Stars,  fit good,   fit good
  I use these for my Cardio Dance class and they are perfect and very cute. I would definitely recommend. They also cam earlier than expected!!,  Great work out shoe,  i use these for my cardio dance class and they are perfect and very cute i would definitely recommend they also cam earlier than expected,   use cardio dance class perfect cute definitely recommend cam earlier expected
  I love these shoes so much that  I reordered another pair online. It's hard to find shoes that fit my really wide feet! The heel back is my favorite part on them, they're thin and feel like another layer of skin,  i love these shoes so much that  i reordered another pair online its hard to find shoes that fit my really wide feet the heel back is my favorite part on them,   love shoes   reordered pair online hard find shoes fit wide feet heel favorite
  Love these sneakers. Light weight and comfortable even without socks.,  Comfortable,  love these sneakers light weight and comfortable even without socks,   love sneakers light weight comfortable socks
  Nice product,  Four Stars,  nice product,   nice product
  I feel like this pair of shoes was made for my feet. Great fit and comfort! Very pleased with this purchase.,  I feel like this pair of shoes was made for my feet,  i feel like this pair of shoes was made for my feet great fit and comfort very pleased with this purchase,   feel like pair shoes feet great fit comfort pleased purchase
  Quick tranasaction!!!  Loved the shoes!!!  Would purchase from them again!!!,  Awesome shoes!!!,  quick tranasaction  loved the shoes  would purchase from them again,   quick tranasaction   loved shoes   purchase
  I got the impression it's cushiony and comfy by reading the reviews on this product, when i tried it on it was a much firmer than my other work shoes,  i got the impression its cushiony and comfy by reading the reviews on this product,   got impression cushiony comfy reading reviews product
  So comfortable, I don't even feel like I have a sneaker on. Based on the other reviews I got a half a size up and glad I did.,  so comfortable,   comfortable
  they are very comfortable feel like you have nothing on.,  Five Stars,  they are very comfortable feel like you have nothing on,   comfortable feel like
